Date,Type,Confirmation Code,Listing,Details,Reference code,Currency,Amount,Paid out
01/24/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06qXCL5n4h4waaJVxpG6HNd1,AUD,,190.41
01/24/2025,Reservation,HMMSWZAQ24,Affordable single bed room near everything,,,AUD,190.41,
01/23/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06vnqJzyLSjBhgWIz1jAGy1h3,AUD,,93.69
01/23/2025,Reservation,HMRBSDWBEB,Private Double Room in  Potts Point /Share Bthroom,,,AUD,93.69,
01/21/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06v5AfepUVquLjdQP7EC9n24,AUD,,1666.67
01/21/2025,Reservation,HM8BN5PEYD,"Luxury 2BR Unit w/ Parking, Lift, AC & Balcony BB",,,AUD,1666.67,
01/19/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06mMWD0KJC454bYUaPQMu0LC,AUD,,1121.41
01/19/2025,Reservation,HMNM2NJQF9,"Luxury 2BR Unit w/ Parking, Lift, AC & Balcony BB",,,AUD,1121.41,
01/19/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06zvR8pUMN25bMJm2KwQyVyy2,AUD,,192.36
01/19/2025,Reservation,HMMSMQKCSQ,Private Double Room in  Potts Point /Share Bthroom,,,AUD,192.36,
01/18/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06yR1zlrx2v1dgZAJGzyNUPT1,AUD,,458.55
01/18/2025,Reservation,HM2SR8YQWH,Double bed with en suite,,,AUD,233.43,
01/18/2025,Reservation,HM4WWSKSEC,Private Double Room in  Potts Point /Share Bthroom,,,AUD,101,
01/18/2025,Reservation,HMB5KJR4N8,Double bed with en suite,,,AUD,124.12,
01/17/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06zOCki9o3ASqnKUGZ4VppjK,AUD,,1185.7
01/17/2025,Reservation,HMFT4HN323,"Luxury 2BR Unit w/ Parking, Lift, AC & Balcony BB",,,AUD,1185.7,
01/17/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06nKWNKR8xqm5huB8i7nQmyD,AUD,,224.24
01/17/2025,Reservation,HM43Q5S828,Double bed with en suite,,,AUD,224.24,
1/12/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06pAET3OP24CXiSChyqZEyxb,AUD,,2107.54
1/12/2025,Reservation,HMKXRA3XNT,"Luxury 2BR Unit w/ Parking, Lift, AC & Balcony BB",,,AUD,2107.54,
1/05/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06w7aheHEVaNcc35IMlCc3E1,AUD,,170.34
1/05/2025,Reservation,HMZQZ434XJ,Double bed with en suite,,,AUD,170.34,
1/05/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06zRM8aCJUwMcH5SrzAb8n8l,AUD,,3533.72
1/05/2025,Reservation,HMB2Z88X4Y,"Luxury 2BR Unit w/ Parking, Lift, AC & Balcony BB",,,AUD,3533.72,
1/04/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06pxacaJHC4aBfEbrC6JOoh0,AUD,,2079.98
1/04/2025,Reservation,HMMHDJ2PB4,Family Room Sleeps 4,,,AUD,796.59,
1/04/2025,Reservation,HMTSEM2H32,Affordable single bed room near everything,,,AUD,124.41,
1/04/2025,Reservation,HMCNESK33Z,Double bed with en suite,,,AUD,1009.51,
1/04/2025,Reservation,HMM59BE2WZ,Triple Room Shared Bathroom,,,AUD,149.47,
1/03/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06rvozX0CzHBi8iAVVsF2jdM,AUD,,1037.07
1/03/2025,Reservation,HM3RKBN3EZ,Affordable single bed room near everything,,,AUD,447.56,
1/03/2025,Reservation,HM9TC3BE9A,Affordable single bed room near everything,,,AUD,124.41,
1/03/2025,Reservation,HMA2QPTJNT,Family Room Sleeps 4,,,AUD,216.27,
1/03/2025,Reservation,HM9DQXMA93,Affordable single bed room near everything,,,AUD,248.83,
1/02/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06mCjEUb7Uqk8gKBD6izXeb7,AUD,,596.25
1/02/2025,Reservation,HMYYWXKKQ9,Private Double Room in  Potts Point /Share Bthroom,,,AUD,163.65,
1/02/2025,Reservation,HMZ3Z45ZK2,Private Double Room in  Potts Point /Share Bthroom,,,AUD,432.6,
1/01/2025,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06qb0B7HzB20lskRBKrcjHyT,AUD,,507.68
1/01/2025,Reservation,HMQ8CQNMHF,Private Double Room in  Potts Point /Share Bthroom,,,AUD,507.68,
12/31/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06pvCRTymtwEHICAVKI2lfWQ,AUD,,1313.49
12/31/2024,Reservation,HM9ATCY3Q5,Affordable single bed room near everything,,,AUD,127.67,
12/31/2024,Reservation,HMQF9NSZX2,Affordable single bed room near everything,,,AUD,127.65,
12/31/2024,Reservation,HMNZWJ3FW2,Affordable single bed room near everything,,,AUD,127.66,
12/31/2024,Reservation,HMWMSZHQD5,Private Double Room in  Potts Point /Share Bthroom,,,AUD,139.95,
12/31/2024,Reservation,HM23SQ2BCD,Private Double Room in  Potts Point /Share Bthroom,,,AUD,139.93,
12/31/2024,Reservation,HMZSDJZM9B,Private Double Room in  Potts Point /Share Bthroom,,,AUD,139.93,
12/31/2024,Reservation,HMTBRHBY9E,Double bed with en suite,,,AUD,175.14,
12/31/2024,Reservation,HMHPDFZJFD,Affordable single bed room near everything,,,AUD,127.65,
12/31/2024,Reservation,HMYFWTFD4P,Family Room Sleeps 4,,,AUD,207.91,
12/30/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06yuHL3b9j27MKMRon9DqnXE,AUD,,1248.42
12/30/2024,Reservation,HMBD4KY9YJ,Double bed with en suite,,,AUD,953.71,
12/30/2024,Reservation,HMJF552B8Z,Private Double Room in  Potts Point /Share Bthroom,,,AUD,294.71,
12/28/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06uEq4zLpSAMdqRFzT9bciGz0,AUD,,358.21
12/28/2024,Reservation,HM8TJDP9FS,Private Double Room in  Potts Point /Share Bthroom,,,AUD,159.48,
